"Yeast1";"Freq"
"803";"uspi_1445";1
"804";"uspi_1450";1
"805";"uspi_1451";1
"806";"uspi_1475";1
"807";"uspi_1478";1
"808";"uspi_17";1
"809";"uspi_185";1
"810";"uspi_186";1
"811";"uspi_187";1
"812";"uspi_188";1
"813";"uspi_189";1
"814";"uspi_190";1
"815";"uspi_191";1
"816";"uspi_192";1
"817";"uspi_193";1
"818";"uspi_195";1
"819";"uspi_196";1
"820";"uspi_198";1
"821";"uspi_199";1
"822";"uspi_200";1
"823";"uspi_201";1
"824";"uspi_202";1
"825";"uspi_203";1
"826";"uspi_204";1
"827";"uspi_209";1
"828";"uspi_211";1
"829";"uspi_212";1
"830";"uspi_215";1
"831";"uspi_216";1
"832";"uspi_217";1
"833";"uspi_218";1
"834";"uspi_220";1
"835";"uspi_221";1
"836";"uspi_222";1
"837";"uspi_225";1
"838";"uspi_226";1
"839";"uspi_227";1
"840";"uspi_228";1
"841";"uspi_229";1
"842";"uspi_231";1
"843";"uspi_233";1
"844";"uspi_235";1
"845";"uspi_237";1
"846";"uspi_238";1
"847";"uspi_239";1
"848";"uspi_241";1
"849";"uspi_242";1
"850";"uspi_245";1
"851";"uspi_246";1
"852";"uspi_247";1
"853";"uspi_248";1
"854";"uspi_250";1
"855";"uspi_251";1
"856";"uspi_252";1
"857";"uspi_253";1
"858";"uspi_255";1
"859";"uspi_257";1
"860";"uspi_263";1
"861";"uspi_264";1
"862";"uspi_266";1
"863";"uspi_267";1
"864";"uspi_269";1
"865";"uspi_270";1
"866";"uspi_271";1
"867";"uspi_272";1
"868";"uspi_273";1
"869";"uspi_274";1
"870";"uspi_275";1
"871";"uspi_276";1
"872";"uspi_278";1
"873";"uspi_279";1
"874";"uspi_280";1
"875";"uspi_282";1
"876";"uspi_283";1
"877";"uspi_284";1
"878";"uspi_286";1
"879";"uspi_287";1
"880";"uspi_29";1
"881";"uspi_298";1
"882";"uspi_301";1
"883";"uspi_303";1
"884";"uspi_305";1
"885";"uspi_306";1
"886";"uspi_308";1
"887";"uspi_314";1
"888";"uspi_318";1
"889";"uspi_319";1
"890";"uspi_320";1
"891";"uspi_321";1
"892";"uspi_325";1
"893";"uspi_326";1
"894";"uspi_329";1
"895";"uspi_331";1
"896";"uspi_332";1
"897";"uspi_333";1
"898";"uspi_336";1
"899";"uspi_337";1
"900";"uspi_35";1
"901";"uspi_356";1
"902";"uspi_369";1
"903";"uspi_37";1
"904";"uspi_382";1
"905";"uspi_385";1
"906";"uspi_386";1
"907";"uspi_387";1
"908";"uspi_388";1
"909";"uspi_389";1
"910";"uspi_39";1
