Reaction;iAZ900;iFF708;iLL672;iMM904;iND750;iTO977;Yeast1;Yeast6;Yeast7
imrxn_2363;1;1;1;1;1;1;1;1;1
imrxn_2364;0;0;1;0;0;0;0;0;0
imrxn_2365;0;0;0;0;0;0;0;1;1
imrxn_2366;0;1;1;1;1;0;1;1;0
imrxn_2367;1;0;0;0;0;0;1;1;1
imrxn_2368;1;1;1;1;1;1;1;1;1
imrxn_2369;1;1;1;1;1;1;1;1;1
imrxn_2370;0;0;1;0;0;0;0;0;0
imrxn_2371;0;0;0;1;1;0;1;1;1
imrxn_2372;0;0;1;0;0;0;0;0;0
imrxn_2373;0;1;1;1;1;1;1;1;1
imrxn_2374;0;1;1;1;1;1;0;0;0
imrxn_2375;1;1;1;0;0;1;0;0;0
imrxn_2376;0;0;0;0;0;1;0;0;0
imrxn_2377;1;1;1;0;0;1;0;0;0
imrxn_2378;1;0;0;1;0;0;1;1;0
imrxn_2379;1;0;0;1;1;0;1;0;0
imrxn_2380;1;1;0;1;1;0;0;0;0
imrxn_2381;0;0;0;0;0;0;1;1;1
imrxn_2382;0;1;1;1;1;1;1;1;1
imrxn_2383;1;0;1;0;0;0;0;0;0
imrxn_2384;0;0;1;0;0;0;0;0;0
imrxn_2385;0;0;0;1;1;0;1;1;1
imrxn_2386;1;1;0;0;0;0;0;0;0
imrxn_2387;1;0;0;0;0;1;0;0;0
imrxn_2388;0;1;0;1;1;1;1;1;1
imrxn_2389;0;0;0;0;0;0;0;1;0
imrxn_2390;0;0;0;1;1;0;0;0;0
imrxn_2391;1;0;0;1;1;0;0;0;0
imrxn_2392;0;0;1;0;0;0;0;0;0
imrxn_2393;0;1;1;1;1;0;0;0;0
imrxn_2394;1;0;0;1;1;0;1;1;1
imrxn_2395;0;1;1;0;0;1;0;0;0
imrxn_2396;0;0;0;1;1;0;1;0;0
imrxn_2397;0;1;1;0;0;1;0;0;0
imrxn_2398;0;1;1;0;0;1;0;0;0
imrxn_2399;1;1;1;0;0;1;0;1;1
imrxn_2400;1;0;0;0;0;0;0;1;1
imrxn_2401;0;0;0;1;1;0;1;1;1
imrxn_2402;1;0;0;1;1;0;1;1;1
imrxn_2403;0;0;0;1;1;0;1;1;1
